	sentence	gold_amr	generated_amr
0	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Maritime officials in Kenya stated that critical details have yet to be agreed upon.
AMR graph:"	"(s / state-01
      :ARG0 (o / official
            :topic (m / maritime)
            :location (c / country :wiki ""Kenya"" :name (n / name :op1 ""Kenya"")))
      :ARG1 (h / have-11
            :ARG1 (y / yet)
            :ARG2 (a / agree-01
                  :ARG1 (d / detail-01
                        :ARG1-of (c2 / critical-02)))))"	"(s / state-01
      :ARG0 (o / official
            :mod (c / country :name (n / name :op1 ""Kenya""))
            :mod (m / maritime))
      :ARG1 (a / agree-01
            :ARG1 (d / detail
                  :mod (c2 / critical))
            :polarity -)
      :time (y / yet))"
1	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: United Nations arms inspectors on December 28, 2002 visited 7 sites in Iraq in order to search for prohibited weapons of mass destruction according to spokesman Hiro Ueki.
AMR graph:"	"(s / say-01
      :ARG0 (p3 / person :wiki -
            :name (n / name :op1 ""Hiro"" :op2 ""Ueki"")
            :ARG0-of (h2 / have-org-role-91
                  :ARG2 (s2 / spokesman)))
      :ARG1 (v / visit-01
            :ARG0 (p / person
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (o / organization :wiki ""United_Nations""
                              :name (n2 / name :op1 ""United"" :op2 ""Nations""))
                        :ARG3 (i / inspect-01
                              :ARG0 p
                              :ARG1 (a / arm))))
            :ARG1 (s3 / site :quant 7
                  :location (c / country :wiki ""Iraq""
                        :name (n3 / name :op1 ""Iraq"")))
            :time (d / date-entity :month 12 :day 28 :year 2002)
            :purpose (s4 / search-01
                  :ARG0 p
                  :ARG2 (w / weapon
                        :ARG0-of (d2 / destroy-01
                              :degree (m / mass))
                        :ARG1-of (p2 / prohibit-01)))))"	"
(v / visit-01
  :arg0 (p / person 
          :name (n1 / name :op1 ""United"" :op2 ""Nations"")
          :mod (a1 / arm
                :arg0-of (i / inspect-01)))
  :arg1 (s / site :quant 7)
  :location (c / country :name (n2 / name :op1 ""Iraq""))
  :time (d / date-entity
          :month 12
          :day 28
          :year 2002)
  :purpose (s2 / search-01
            :arg1 (w / weapon
                    :mod (p2 / prohibit-01)
                    :mod (m / mass :arg0-of (d2 / destroy-01))))
  :source (s3 / spokesman
            :name (n3 / name :op1 ""Hiro"" :op2 ""Ueki"")))
"
2	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: SUPPLIES WE NEED: comfortable nursing chairs and rockers, nursing foot stool, boppie, SLINGS and baby clothes, diapers.
AMR graph:"	"(n / need-01
      :ARG0 (w / we)
      :ARG1 (s / supply-01
            :example (c / chair
                  :mod (n2 / nursing)
                  :ARG0-of (c2 / comfortable-02))
            :example (r / rocker)
            :example (s2 / stool
                  :mod (f / foot)
                  :mod n2)
            :example (b / boppie)
            :example (s3 / sling)
            :example (c3 / cloth
                  :mod (b2 / baby))
            :example (d / diaper)))"	"
(l / list
    :item (c1 / chair
        :mod (c2 / comfortable)
        :part-of (n1 / nursing))
    :item (r / rocker
        :part-of n1)
    :item (f / stool
        :mod (n2 / nursing)
        :mod (c3 / foot))
    :item (b / boppie)
    :item (s / sling
        :mod (c4 / baby))
    :item (c5 / clothes
        :mod (c4))
    :item (d / diaper))
"
3	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: My fellow citizens, of the heinous crimes committed by Japan in China, there are too many instances to cite, difficult to record without exhausting all bamboo strips.
AMR graph:"	"(s / say-01
      :ARG0 (i2 / i)
      :ARG1 (h2 / have-quant-91
            :ARG1 (i / instance
                  :ARG1-of (r / record-01
                        :manner (d / difficult)
                        :manner (e / exhaust-01 :polarity -
                              :ARG1 (s2 / strip
                                    :consist-of (b / bamboo)
                                    :mod (a / all)))))
            :ARG2 (m2 / many)
            :ARG3 (t / too)
            :ARG6 (p / possible-01 :polarity -
                  :ARG1 (c6 / cite-01
                        :ARG1 i))
            :topic (c2 / crime-02
                  :ARG1 (h / heinous)
                  :ARG1-of (c3 / commit-02
                        :ARG0 (c4 / country :wiki ""Japan"" :name (n / name :op1 ""Japan""))
                        :location (c5 / country :wiki ""China"" :name (n2 / name :op1 ""China"")))))
      :ARG2 (c / citizen
            :mod (f / fellow)
            :poss i2))"	"
(e / exist
      :quant (m / many
            :mod (t / too))
      :domain (i / instance
            :mod (c2 / cite))
      :mod (d / difficult
            :arg1-of (r / record-01
                  :polarity -
                  :medium (s / strip
                        :mod (b / bamboo))))
      :location (c1 / commit-01
            :ARG0 (c3 / country
                  :name (n2 / name
                        :op1 ""Japan""))
            :ARG1 (c4 / crime
                  :mod (h / heinous))
            :location (c5 / country
                  :name (n3 / name
                        :op1 ""China"")))
      :poss (p / person
            :mod (f / fellow)
            :name (n1 / name
                  :op1 ""citizens"")))
"
4	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Shortly after the freighter was hijacked on 25 September 2008 the Kenyan government claimed that the weapons on board were being shipped for Kenya's military.
AMR graph:"	"(c / claim-01
      :ARG0 (g / government-organization
            :ARG0-of (g2 / govern-01
                  :ARG1 (c2 / country :wiki ""Kenya"" :name (n / name :op1 ""Kenya""))))
      :ARG1 (s / ship-01
            :ARG1 (w / weapon
                  :ARG0-of (b / board-01))
            :ARG2 (m / military
                  :poss c2))
      :time (a / after
            :op1 (h / hijack-01
                  :ARG1 (f / freighter)
                  :time (d / date-entity :year 2008 :month 9 :day 25))
            :ARG1-of (s2 / short-07)))"	"
(c / claim-01
  :ARG0 (g / government
          :location (c2 / country :name ""Kenya""))
  :ARG1 (a / and
          :op1 (h / hijack-01
                :ARG1 (f / freighter)
                :time (d / date-entity :month 9 :day 25 :year 2008))
          :op2 (s / ship-01
                :ARG0 (w / weapon)
                :ARG1 (m / military :poss c2)))
  :time (s2 / shortly-after))
"
5	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: ""Qatar is a very important country on this issue.
AMR graph:"	"(c2 / country
      :ARG1-of (i2 / important-01
            :ARG2 (i3 / issue-02
                  :mod (t2 / this))
            :degree (v / very))
      :domain (c / country :wiki ""Qatar"" :name (n / name :op1 ""Qatar"")))"	"
(c / country
    :name (n / name :op1 ""Qatar"")
    :ARG1-of (i / important
        :degree (v / very))
    :location-of (i2 / issue
        :mod (t / this)))
"
6	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Peruvian military document discloses former intelligence head Montesinos' links with drug trafficking
AMR graph:"	"(d / disclose-01
      :ARG0 (d2 / document
            :mod (m / military
                  :mod (c / country :wiki ""Peru"" :name (n / name :op1 ""Peru""))))
      :ARG1 (l / link-01
            :ARG1 (p / person :wiki ""Vladimiro_Montesinos"" :name (n2 / name :op1 ""Montesinos"")
                  :ARG0-of (h / head-01
                        :ARG1 (i / intelligence)
                        :time (f / former)))
            :ARG2 (t / traffic-01
                  :ARG1 (d3 / drug))))"	"(d / disclose-01
    :ARG0 (d2 / document
        :mod (c / country
            :name (n / name :op1 ""Peru""))
        :mod (m2 / military))
    :ARG1 (l / link-01
        :ARG0 (p / person
            :name (n2 / name :op1 ""Montesinos"")
            :ARG0-of (h / head-01
                :ARG1 (i / intelligence-01)))
        :ARG1 (t / traffic-01
            :ARG0 (d3 / drug))))"
7	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Premier Peng Li and Kirghizian President Akayev attended the signing ceremony .
AMR graph:"	"(a2 / attend-01
      :ARG0 (a3 / and
            :op1 (p / person :wiki ""Li_Peng""
                  :name (n2 / name :op1 ""Peng"" :op2 ""Li"")
                  :ARG0-of (h / have-org-role-91
                        :ARG2 (p2 / premier)))
            :op2 (p3 / person :wiki ""Askar_Akayev""
                  :name (n3 / name :op1 ""Akayev"")
                  :ARG0-of (h2 / have-org-role-91
                        :ARG1 (c / country :wiki ""Kyrgyzstan""
                              :name (n4 / name :op1 ""Kirghizia""))
                        :ARG2 (p4 / president))))
      :ARG1 (c2 / ceremony
            :mod (s / sign-01)))"	"
(a / attend-01
    :arg0 (a2 / person
        :name (n2 / name :op1 ""Peng"" :op2 ""Li"")
        :arg0-of (p / premiere-01))
    :arg0 (a3 / person
        :name (n3 / name :op1 ""Akayev"")
        :arg0-of (p2 / president-01
            :location (c3 / country
                :name (n4 / name :op1 ""Kirghizian""))))
    :arg1 (c1 / ceremony
        :mod (s / sign-01)))
"
8	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: No casualties have been reported as the primary school had no classes over the weekend.
AMR graph:"	"(c / cause-01
      :ARG0 (h / have-03 :polarity -
            :ARG0 (s / school
                  :mod (p / primary))
            :ARG1 (c3 / class)
            :time (w / weekend))
      :ARG1 (r / report-01 :polarity -
            :ARG1 (c2 / casualty)))"	"
(r / report-01
    :polarity -
    :arg0 (c1 / casualty
            :quant 0)
    :cause (h / have-03
                :arg2 (c2 / class
                        :mod (p / primary)
                        :location (s / school)
                        :time (w / weekend))
                :polarity -))
"
9	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: The People's Mujahedeen accused the French authorities of carrying out the operation as part of a deal with the Iranian government.
AMR graph:"	"(a / accuse-01
      :ARG0 (o / organization :wiki ""People's_Mujahedin_of_Iran"" :name (n / name :op1 ""People's"" :op2 ""Mujahedeen""))
      :ARG1 (a2 / authority
            :mod (c / country :wiki ""France"" :name (n2 / name :op1 ""France"")))
      :ARG2 (h / have-part-91
            :ARG1 (d / deal-01
                  :ARG0 a2
                  :ARG1 (g / government-organization
                        :ARG0-of (g2 / govern-01
                              :ARG1 (c3 / country :wiki ""Iran"" :name (n3 / name :op1 ""Iran"")))))
            :ARG2 (c2 / carry-out-03
                  :ARG0 a2
                  :ARG1 (o2 / operation))))"	"
(a / accuse-01
  :arg0 (c / organization
           :name (n / name :op1 ""People's"" :op2 ""Mujahedeen""))
  :arg1 (a2 / authority
           :mod (c2 / country :name (n2 / name :op1 ""France""))
           :arg1-of (o / operate-01
                      :part-of (d / deal-04
                                  :arg1 (g / government
                                            :mod (c3 / country
                                               :name (n3 / name :op1 ""Iran""))))))
  :arg2 c2)
"
