{'prompt_tokens': 1695, 'completion_tokens': 2246, 'total_tokens': 3941}
{'prompt_tokens': 2583, 'completion_tokens': 1933, 'total_tokens': 4516}
{'prompt_tokens': 1587, 'completion_tokens': 2567, 'total_tokens': 4154}
{'prompt_tokens': 3051, 'completion_tokens': 4674, 'total_tokens': 7725}
{'prompt_tokens': 2518, 'completion_tokens': 3882, 'total_tokens': 6400}
{'prompt_tokens': 2035, 'completion_tokens': 1864, 'total_tokens': 3899}
{'prompt_tokens': 3345, 'completion_tokens': 1970, 'total_tokens': 5315}
{'prompt_tokens': 3414, 'completion_tokens': 1218, 'total_tokens': 4632}
{'prompt_tokens': 1166, 'completion_tokens': 2137, 'total_tokens': 3303}
{'prompt_tokens': 2984, 'completion_tokens': 2434, 'total_tokens': 5418}
{'prompt_tokens': 1082, 'completion_tokens': 1280, 'total_tokens': 2362}
{'prompt_tokens': 3474, 'completion_tokens': 3133, 'total_tokens': 6607}
{'prompt_tokens': 3283, 'completion_tokens': 2281, 'total_tokens': 5564}
{'prompt_tokens': 2284, 'completion_tokens': 3328, 'total_tokens': 5612}
{'prompt_tokens': 3661, 'completion_tokens': 4021, 'total_tokens': 7682}
{'prompt_tokens': 1516, 'completion_tokens': 2029, 'total_tokens': 3545}
{'prompt_tokens': 690, 'completion_tokens': 420, 'total_tokens': 1110}
{'prompt_tokens': 910, 'completion_tokens': 4300, 'total_tokens': 5210}
{'prompt_tokens': 2331, 'completion_tokens': 2925, 'total_tokens': 5256}
{'prompt_tokens': 946, 'completion_tokens': 1812, 'total_tokens': 2758}
{'prompt_tokens': 2358, 'completion_tokens': 1678, 'total_tokens': 4036}
{'prompt_tokens': 2833, 'completion_tokens': 591, 'total_tokens': 3424}
{'prompt_tokens': 2114, 'completion_tokens': 3597, 'total_tokens': 5711}
{'prompt_tokens': 1242, 'completion_tokens': 2020, 'total_tokens': 3262}
{'prompt_tokens': 612, 'completion_tokens': 348, 'total_tokens': 960}
{'prompt_tokens': 2272, 'completion_tokens': 1749, 'total_tokens': 4021}
{'prompt_tokens': 2889, 'completion_tokens': 2820, 'total_tokens': 5709}
{'prompt_tokens': 2155, 'completion_tokens': 3428, 'total_tokens': 5583}
{'prompt_tokens': 2431, 'completion_tokens': 3161, 'total_tokens': 5592}
{'prompt_tokens': 2519, 'completion_tokens': 2846, 'total_tokens': 5365}
{'prompt_tokens': 1869, 'completion_tokens': 1560, 'total_tokens': 3429}
{'prompt_tokens': 2182, 'completion_tokens': 2656, 'total_tokens': 4838}
{'prompt_tokens': 1091, 'completion_tokens': 1666, 'total_tokens': 2757}
{'prompt_tokens': 2213, 'completion_tokens': 4143, 'total_tokens': 6356}
{'prompt_tokens': 2070, 'completion_tokens': 3977, 'total_tokens': 6047}
{'prompt_tokens': 4724, 'completion_tokens': 4220, 'total_tokens': 8944}
{'prompt_tokens': 510, 'completion_tokens': 218, 'total_tokens': 728}
{'prompt_tokens': 851, 'completion_tokens': 371, 'total_tokens': 1222}
{'prompt_tokens': 1923, 'completion_tokens': 2972, 'total_tokens': 4895}
{'prompt_tokens': 1691, 'completion_tokens': 5362, 'total_tokens': 7053}
{'prompt_tokens': 1084, 'completion_tokens': 824, 'total_tokens': 1908}
{'prompt_tokens': 1191, 'completion_tokens': 889, 'total_tokens': 2080}
{'prompt_tokens': 2137, 'completion_tokens': 5414, 'total_tokens': 7551}
{'prompt_tokens': 1359, 'completion_tokens': 3500, 'total_tokens': 4859}
{'prompt_tokens': 1745, 'completion_tokens': 2668, 'total_tokens': 4413}
{'prompt_tokens': 1991, 'completion_tokens': 2709, 'total_tokens': 4700}
{'prompt_tokens': 606, 'completion_tokens': 348, 'total_tokens': 954}
{'prompt_tokens': 664, 'completion_tokens': 419, 'total_tokens': 1083}
{'prompt_tokens': 2069, 'completion_tokens': 4607, 'total_tokens': 6676}
{'prompt_tokens': 2496, 'completion_tokens': 1938, 'total_tokens': 4434}
{'prompt_tokens_final': 100446, 'completion_tokens_final': 123153, 'total_tokens_final': 223599, 'price': 1.3570875}
