	sentence	gold_amr	generated_amr
0	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Maritime officials in Kenya stated that critical details have yet to be agreed upon.
AMR graph:"	"(s / state-01
      :ARG0 (o / official
            :topic (m / maritime)
            :location (c / country :wiki ""Kenya"" :name (n / name :op1 ""Kenya"")))
      :ARG1 (h / have-11
            :ARG1 (y / yet)
            :ARG2 (a / agree-01
                  :ARG1 (d / detail-01
                        :ARG1-of (c2 / critical-02)))))"	"(s1 / say-01
      :ARG0 (o1 / official
                :mod (m1 / maritime)
                :location (c1 / country
                              :name (n1 / name :op1 ""Kenya"")))
      :ARG1 (n2 / not-yet-91
                 :ARG1 (a1 / agree-01
                            :ARG1 (d1 / detail
                                       :mod (c2 / critical)))))"
1	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: United Nations arms inspectors on December 28, 2002 visited 7 sites in Iraq in order to search for prohibited weapons of mass destruction according to spokesman Hiro Ueki.
AMR graph:"	"(s / say-01
      :ARG0 (p3 / person :wiki -
            :name (n / name :op1 ""Hiro"" :op2 ""Ueki"")
            :ARG0-of (h2 / have-org-role-91
                  :ARG2 (s2 / spokesman)))
      :ARG1 (v / visit-01
            :ARG0 (p / person
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (o / organization :wiki ""United_Nations""
                              :name (n2 / name :op1 ""United"" :op2 ""Nations""))
                        :ARG3 (i / inspect-01
                              :ARG0 p
                              :ARG1 (a / arm))))
            :ARG1 (s3 / site :quant 7
                  :location (c / country :wiki ""Iraq""
                        :name (n3 / name :op1 ""Iraq"")))
            :time (d / date-entity :month 12 :day 28 :year 2002)
            :purpose (s4 / search-01
                  :ARG0 p
                  :ARG2 (w / weapon
                        :ARG0-of (d2 / destroy-01
                              :degree (m / mass))
                        :ARG1-of (p2 / prohibit-01)))))"	"(s0 / say-01
  :ARG0 (p0 / person
        :name (n0 / name :op1 ""Hiro"" :op2 ""Ueki"")
        :ARG2-of (h2 / have-org-role-91
                  :ARG2 (s3 / spokesman)))
  :ARG1 (v0 / visit-01
        :ARG0 (g0 / group
              :ARG0-of (h0 / have-org-role-91
                        :ARG1 (u0 / organization
                              :name (n1 / name :op1 ""United"" :op2 ""Nations""))
                        :ARG2 (i3 / inspector
                              :mod (w3 / weapon))))
        :ARG1 (s1 / site
              :quant 7
              :location (c0 / country
                        :name (n2 / name :op1 ""Iraq"")))
        :time (d0 / date-entity
              :year 2002
              :month 12
              :day 28)
        :purpose (s2 / search-01
              :ARG0 g0
              :ARG1 (w0 / weapon-of-mass-destruction
                    :ARG1-of (p1 / prohibit-01)))))"
2	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: SUPPLIES WE NEED: comfortable nursing chairs and rockers, nursing foot stool, boppie, SLINGS and baby clothes, diapers.
AMR graph:"	"(n / need-01
      :ARG0 (w / we)
      :ARG1 (s / supply-01
            :example (c / chair
                  :mod (n2 / nursing)
                  :ARG0-of (c2 / comfortable-02))
            :example (r / rocker)
            :example (s2 / stool
                  :mod (f / foot)
                  :mod n2)
            :example (b / boppie)
            :example (s3 / sling)
            :example (c3 / cloth
                  :mod (b2 / baby))
            :example (d / diaper)))"	"(n0 / need-01
  :ARG0 (w0 / we)
  :ARG1 (a0 / and
    :op1 (a1 / and
      :op1 (c1 / chair
        :mod (c2 / comfortable)
        :purpose (n1 / nurse-01))
      :op2 (r1 / rocker
        :mod c2
        :purpose n1))
    :op2 (f1 / footstool
      :purpose n1)
    :op3 (b3 / thing
      :name (n3 / name :op1 ""boppie""))
    :op4 (s2 / sling)
    :op5 (c4 / clothes
      :mod (b4 / baby))
    :op6 (d1 / diaper)))"
3	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: My fellow citizens, of the heinous crimes committed by Japan in China, there are too many instances to cite, difficult to record without exhausting all bamboo strips.
AMR graph:"	"(s / say-01
      :ARG0 (i2 / i)
      :ARG1 (h2 / have-quant-91
            :ARG1 (i / instance
                  :ARG1-of (r / record-01
                        :manner (d / difficult)
                        :manner (e / exhaust-01 :polarity -
                              :ARG1 (s2 / strip
                                    :consist-of (b / bamboo)
                                    :mod (a / all)))))
            :ARG2 (m2 / many)
            :ARG3 (t / too)
            :ARG6 (p / possible-01 :polarity -
                  :ARG1 (c6 / cite-01
                        :ARG1 i))
            :topic (c2 / crime-02
                  :ARG1 (h / heinous)
                  :ARG1-of (c3 / commit-02
                        :ARG0 (c4 / country :wiki ""Japan"" :name (n / name :op1 ""Japan""))
                        :location (c5 / country :wiki ""China"" :name (n2 / name :op1 ""China"")))))
      :ARG2 (c / citizen
            :mod (f / fellow)
            :poss i2))"	
4	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Shortly after the freighter was hijacked on 25 September 2008 the Kenyan government claimed that the weapons on board were being shipped for Kenya's military.
AMR graph:"	"(c / claim-01
      :ARG0 (g / government-organization
            :ARG0-of (g2 / govern-01
                  :ARG1 (c2 / country :wiki ""Kenya"" :name (n / name :op1 ""Kenya""))))
      :ARG1 (s / ship-01
            :ARG1 (w / weapon
                  :ARG0-of (b / board-01))
            :ARG2 (m / military
                  :poss c2))
      :time (a / after
            :op1 (h / hijack-01
                  :ARG1 (f / freighter)
                  :time (d / date-entity :year 2008 :month 9 :day 25))
            :ARG1-of (s2 / short-07)))"	"(c / claim-01
  :ARG0 (g / government-organization
            :poss (k / country
                      :name (n / name :op1 ""Kenya"")))
  :time (a1 / after
            :op1 (h / hijack-01
                      :ARG1 (f / freighter)
                      :time (d / date-entity :year 2008 :month 9 :day 25))
            :mod (s2 / short))
  :ARG1 (s / ship-01
            :ARG1 (w / weapon
                      :location (a2 / aboard :op1 f))
            :beneficiary (m / military :poss k)))"
5	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: ""Qatar is a very important country on this issue.
AMR graph:"	"(c2 / country
      :ARG1-of (i2 / important-01
            :ARG2 (i3 / issue-02
                  :mod (t2 / this))
            :degree (v / very))
      :domain (c / country :wiki ""Qatar"" :name (n / name :op1 ""Qatar"")))"	"(c1 / country
   :name (n1 / name :op1 ""Qatar"")
   :mod (i1 / important-01
            :ARG1 c1
            :degree (v1 / very)
            :topic (i2 / issue
                       :mod (t1 / this))))"
6	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Peruvian military document discloses former intelligence head Montesinos' links with drug trafficking
AMR graph:"	"(d / disclose-01
      :ARG0 (d2 / document
            :mod (m / military
                  :mod (c / country :wiki ""Peru"" :name (n / name :op1 ""Peru""))))
      :ARG1 (l / link-01
            :ARG1 (p / person :wiki ""Vladimiro_Montesinos"" :name (n2 / name :op1 ""Montesinos"")
                  :ARG0-of (h / head-01
                        :ARG1 (i / intelligence)
                        :time (f / former)))
            :ARG2 (t / traffic-01
                  :ARG1 (d3 / drug))))"	"(d1 / disclose-01
  :ARG0 (d2 / document
        :poss (m1 / military-organization
              :mod (c1 / country
                    :name (n1 / name :op1 ""Peru""))))
  :ARG1 (l1 / link-01
        :ARG1 (p1 / person
              :name (n2 / name :op1 ""Montesinos"")
              :ARG0-of (h1 / have-org-role-91
                    :ARG1 (o1 / organization
                          :mod (i1 / intelligence))
                    :ARG2 (h2 / head)
                    :time (b1 / before)))
        :ARG2 (t1 / traffic-01
              :ARG1 (d3 / drug))))"
7	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Premier Peng Li and Kirghizian President Akayev attended the signing ceremony .
AMR graph:"	"(a2 / attend-01
      :ARG0 (a3 / and
            :op1 (p / person :wiki ""Li_Peng""
                  :name (n2 / name :op1 ""Peng"" :op2 ""Li"")
                  :ARG0-of (h / have-org-role-91
                        :ARG2 (p2 / premier)))
            :op2 (p3 / person :wiki ""Askar_Akayev""
                  :name (n3 / name :op1 ""Akayev"")
                  :ARG0-of (h2 / have-org-role-91
                        :ARG1 (c / country :wiki ""Kyrgyzstan""
                              :name (n4 / name :op1 ""Kirghizia""))
                        :ARG2 (p4 / president))))
      :ARG1 (c2 / ceremony
            :mod (s / sign-01)))"	"(a1 / attend-01
  :ARG0 (a2 / and
    :op1 (p1 / person
          :name (n1 / name :op1 ""Peng"" :op2 ""Li"")
          :ARG0-of (h1 / have-org-role-91
                    :ARG2 (r1 / premier)))
    :op2 (p2 / person
          :name (n2 / name :op1 ""Akayev"")
          :ARG0-of (h2 / have-org-role-91
                    :ARG2 (r2 / president))
          :mod (k1 / kirghizian)))
  :ARG1 (c1 / ceremony
        :purpose (s1 / sign-01)))"
8	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: No casualties have been reported as the primary school had no classes over the weekend.
AMR graph:"	"(c / cause-01
      :ARG0 (h / have-03 :polarity -
            :ARG0 (s / school
                  :mod (p / primary))
            :ARG1 (c3 / class)
            :time (w / weekend))
      :ARG1 (r / report-01 :polarity -
            :ARG1 (c2 / casualty)))"	"(a / cause-01
  :ARG1 (r / report-01
        :ARG1 (c1 / casualty
              :quant 0))
  :ARG0 (h / have-03
        :ARG0 (s / school
              :mod (p / primary))
        :ARG1 (c2 / class)
        :polarity -
        :time (w / weekend)))"
9	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: The People's Mujahedeen accused the French authorities of carrying out the operation as part of a deal with the Iranian government.
AMR graph:"	"(a / accuse-01
      :ARG0 (o / organization :wiki ""People's_Mujahedin_of_Iran"" :name (n / name :op1 ""People's"" :op2 ""Mujahedeen""))
      :ARG1 (a2 / authority
            :mod (c / country :wiki ""France"" :name (n2 / name :op1 ""France"")))
      :ARG2 (h / have-part-91
            :ARG1 (d / deal-01
                  :ARG0 a2
                  :ARG1 (g / government-organization
                        :ARG0-of (g2 / govern-01
                              :ARG1 (c3 / country :wiki ""Iran"" :name (n3 / name :op1 ""Iran"")))))
            :ARG2 (c2 / carry-out-03
                  :ARG0 a2
                  :ARG1 (o2 / operation))))"	"(a0 / accuse-01
  :ARG0 (o0 / organization
        :name (n0 / name :op1 ""People's"" :op2 ""Mujahedeen""))
  :ARG1 (a1 / authority
        :mod (c0 / country :name (n1 / name :op1 ""France"")))
  :ARG2 (c1 / carry-out-03
        :ARG0 a1
        :ARG1 (o1 / operation)
        :part-of (a2 / agree-01
              :ARG0 a1
              :ARG1 (g0 / government-organization
                    :mod (c2 / country :name (n2 / name :op1 ""Iran""))))))"
10	"Generate an Abstract Meaning Representation (AMR) graph for the following sentence: Both take what they need
AMR graph:"	"(t / take-01
      :ARG0 (b / both)
      :ARG1 (t2 / thing
            :ARG1-of (n / need-01
                  :ARG0 b)))"	"(t1 / take-01
      :ARG0 (p1 / person
                 :quant 2)
      :ARG1 (t2 / thing
                 :ARG1-of (n1 / need-01
                                :ARG0 p1)))"
