	sentence	gold_amr	generated_amr
0	Maritime officials in Kenya stated that critical details have yet to be agreed upon.	"(s / state-01
      :ARG0 (o / official
            :topic (m / maritime)
            :location (c / country :wiki ""Kenya"" :name (n / name :op1 ""Kenya"")))
      :ARG1 (h / have-11
            :ARG1 (y / yet)
            :ARG2 (a / agree-01
                  :ARG1 (d / detail-01
                        :ARG1-of (c2 / critical-02)))))"	"# ::snt Maritime officials in Kenya stated that critical details have yet to be agreed upon.
(s / state-01
      :ARG0 (p / person
            :ARG0-of (h / have-org-role-91
                  :ARG1 (n / navy)
                  :ARG2 (o / official))
            :location (c / country
                  :name (n2 / name
                        :op1 ""Kenya"")))
      :ARG1 (h2 / have-11
            :ARG0 (d / detail
                  :ARG1-of (c2 / critical-02))
            :ARG1 (y / yet)
            :ARG2 (a / agree-01
                  :ARG1 d)))"
1	United Nations arms inspectors on December 28, 2002 visited 7 sites in Iraq in order to search for prohibited weapons of mass destruction according to spokesman Hiro Ueki.	"(s / say-01
      :ARG0 (p3 / person :wiki -
            :name (n / name :op1 ""Hiro"" :op2 ""Ueki"")
            :ARG0-of (h2 / have-org-role-91
                  :ARG2 (s2 / spokesman)))
      :ARG1 (v / visit-01
            :ARG0 (p / person
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (o / organization :wiki ""United_Nations""
                              :name (n2 / name :op1 ""United"" :op2 ""Nations""))
                        :ARG3 (i / inspect-01
                              :ARG0 p
                              :ARG1 (a / arm))))
            :ARG1 (s3 / site :quant 7
                  :location (c / country :wiki ""Iraq""
                        :name (n3 / name :op1 ""Iraq"")))
            :time (d / date-entity :month 12 :day 28 :year 2002)
            :purpose (s4 / search-01
                  :ARG0 p
                  :ARG2 (w / weapon
                        :ARG0-of (d2 / destroy-01
                              :degree (m / mass))
                        :ARG1-of (p2 / prohibit-01)))))"	"# ::snt United Nations arms inspectors on December 28, 2002 visited 7 sites in Iraq in order to search for prohibited weapons of mass destruction according to spokesman Hiro Ueki.
(v / visit-01
      :ARG0 (p / person
            :ARG0-of (ii / inspect-01
                  :ARG1 (a / arm))
            :poss (o / organization
                  :name (n / name
                        :op1 ""United""
                        :op2 ""Nations"")))
      :ARG1 (s / site
            :quant 7
            :location (c / country
                  :name (n2 / name
                        :op1 ""Iraq"")))
      :time (d / date-entity
            :year 2002
            :month 12
            :day 28)
      :purpose (s2 / search-01
            :ARG0 p
            :ARG1 s
            :ARG2 (w / weapon
                  :ARG2-of (d2 / destroy-01
                        :degree (m / mass))
                  :ARG1-of (p2 / prohibit-01)))
      :ARG1-of (s3 / say-01
            :ARG0 (p3 / person
                  :name (n3 / name
                        :op1 ""Hiro""
                        :op2 ""Ueki"")
                  :ARG0-of (h / have-org-role-91
                        :ARG1 o
                        :ARG2 (s4 / spokesman)))))"
2	SUPPLIES WE NEED: comfortable nursing chairs and rockers, nursing foot stool, boppie, SLINGS and baby clothes, diapers.	"(n / need-01
      :ARG0 (w / we)
      :ARG1 (s / supply-01
            :example (c / chair
                  :mod (n2 / nursing)
                  :ARG0-of (c2 / comfortable-02))
            :example (r / rocker)
            :example (s2 / stool
                  :mod (f / foot)
                  :mod n2)
            :example (b / boppie)
            :example (s3 / sling)
            :example (c3 / cloth
                  :mod (b2 / baby))
            :example (d / diaper)))"	"# ::snt SUPPLIES WE NEED: comfortable nursing chairs and rockers, nursing foot stool, boppie, SLINGS and baby clothes, diapers.
(t / thing
      :ARG1-of (s / supply-01
            :ARG2 (w / we))
      :ARG2-of (ii / include-91
            :ARG1 (a / and
                  :op1 (c / chair
                        :mod (n / nurse-01)
                        :ARG0-of (c2 / comfortable-02))
                  :op2 (r / rocker)
                  :op3 (s2 / stool
                        :mod (f / foot)
                        :mod (n2 / nurse-01))
                  :op4 (b / boppie)
                  :op5 (s3 / sling)
                  :op6 (a2 / and
                        :op1 (c3 / clothes
                              :mod (b2 / baby))
                        :op2 (d / diaper)))))"
3	My fellow citizens, of the heinous crimes committed by Japan in China, there are too many instances to cite, difficult to record without exhausting all bamboo strips.	"(s / say-01
      :ARG0 (i2 / i)
      :ARG1 (h2 / have-quant-91
            :ARG1 (i / instance
                  :ARG1-of (r / record-01
                        :manner (d / difficult)
                        :manner (e / exhaust-01 :polarity -
                              :ARG1 (s2 / strip
                                    :consist-of (b / bamboo)
                                    :mod (a / all)))))
            :ARG2 (m2 / many)
            :ARG3 (t / too)
            :ARG6 (p / possible-01 :polarity -
                  :ARG1 (c6 / cite-01
                        :ARG1 i))
            :topic (c2 / crime-02
                  :ARG1 (h / heinous)
                  :ARG1-of (c3 / commit-02
                        :ARG0 (c4 / country :wiki ""Japan"" :name (n / name :op1 ""Japan""))
                        :location (c5 / country :wiki ""China"" :name (n2 / name :op1 ""China"")))))
      :ARG2 (c / citizen
            :mod (f / fellow)
            :poss i2))"	"# ::snt My fellow citizens, of the heinous crimes committed by Japan in China, there are too many instances to cite, difficult to record without exhausting all bamboo strips.
(s / say-01
      :ARG1 (a / and
            :op1 (ii / instance
                  :ARG1-of (h / have-quant-91
                        :ARG2 (m / many)
                        :ARG3 (t / too)
                        :ARG6 (c / cite-01
                              :ARG1 ii)))
            :op2 (d / difficult
                  :domain (r / record-01
                        :ARG1 ii
                        :manner (e / exhaust-01
                              :polarity -
                              :ARG1 (s2 / strip
                                    :mod (b / bamboo)
                                    :mod (a2 / all)))))
            :topic (c2 / crime-02
                  :ARG0 (c3 / country
                        :name (n / name
                              :op1 ""Japan""))
                  :mod (h2 / heinous)
                  :ARG1-of (c4 / commit-02
                        :ARG0 c3
                        :location (c5 / country
                              :name (n2 / name
                                    :op1 ""China"")))))
      :ARG2 (c6 / citizen
            :mod (f / fellow)
            :poss (ii2 / i)))"
4	Shortly after the freighter was hijacked on 25 September 2008 the Kenyan government claimed that the weapons on board were being shipped for Kenya's military.	"(c / claim-01
      :ARG0 (g / government-organization
            :ARG0-of (g2 / govern-01
                  :ARG1 (c2 / country :wiki ""Kenya"" :name (n / name :op1 ""Kenya""))))
      :ARG1 (s / ship-01
            :ARG1 (w / weapon
                  :ARG0-of (b / board-01))
            :ARG2 (m / military
                  :poss c2))
      :time (a / after
            :op1 (h / hijack-01
                  :ARG1 (f / freighter)
                  :time (d / date-entity :year 2008 :month 9 :day 25))
            :ARG1-of (s2 / short-07)))"	"# ::snt Shortly after the freighter was hijacked on 25 September 2008 the Kenyan government claimed that the weapons on board were being shipped for Kenya's military.
(c / claim-01
      :ARG0 (g / government-organization
            :ARG0-of (g2 / govern-01
                  :ARG1 (c2 / country
                        :name (n / name
                              :op1 ""Kenya""))))
      :ARG1 (s / ship-01
            :ARG1 (w / weapon
                  :location (f / freighter))
            :ARG2 (m / military
                  :poss c2))
      :time (a / after
            :op1 (h / hijack-01
                  :ARG1 f
                  :time (d / date-entity
                        :day 25
                        :month 9
                        :year 2008))
            :ARG1-of (s2 / short-07)))"
5	"""Qatar is a very important country on this issue."	"(c2 / country
      :ARG1-of (i2 / important-01
            :ARG2 (i3 / issue-02
                  :mod (t2 / this))
            :degree (v / very))
      :domain (c / country :wiki ""Qatar"" :name (n / name :op1 ""Qatar"")))"	"# ::snt ""Qatar is a very important country on this issue.
(ii / important-01
      :ARG1 (c / country
            :name (n / name
                  :op1 ""Qatar""))
      :degree (v / very)
      :topic (ii2 / issue-02
            :mod (t / this)))"
6	Peruvian military document discloses former intelligence head Montesinos' links with drug trafficking	"(d / disclose-01
      :ARG0 (d2 / document
            :mod (m / military
                  :mod (c / country :wiki ""Peru"" :name (n / name :op1 ""Peru""))))
      :ARG1 (l / link-01
            :ARG1 (p / person :wiki ""Vladimiro_Montesinos"" :name (n2 / name :op1 ""Montesinos"")
                  :ARG0-of (h / head-01
                        :ARG1 (i / intelligence)
                        :time (f / former)))
            :ARG2 (t / traffic-01
                  :ARG1 (d3 / drug))))"	"# ::snt Peruvian military document discloses former intelligence head Montesinos' links with drug trafficking
(d / disclose-01
      :ARG0 (d2 / document
            :source (m / military
                  :mod (c / country
                        :name (n / name
                              :op1 ""Peru""))))
      :ARG1 (l / link-01
            :ARG1 (p / person
                  :name (n2 / name
                        :op1 ""Montesinos"")
                  :ARG0-of (h / head-01
                        :ARG1 (ii / intelligence)
                        :time (f / former)))
            :ARG2 (t / traffic-01
                  :ARG1 (d3 / drug))))"
7	Premier Peng Li and Kirghizian President Akayev attended the signing ceremony .	"(a2 / attend-01
      :ARG0 (a3 / and
            :op1 (p / person :wiki ""Li_Peng""
                  :name (n2 / name :op1 ""Peng"" :op2 ""Li"")
                  :ARG0-of (h / have-org-role-91
                        :ARG2 (p2 / premier)))
            :op2 (p3 / person :wiki ""Askar_Akayev""
                  :name (n3 / name :op1 ""Akayev"")
                  :ARG0-of (h2 / have-org-role-91
                        :ARG1 (c / country :wiki ""Kyrgyzstan""
                              :name (n4 / name :op1 ""Kirghizia""))
                        :ARG2 (p4 / president))))
      :ARG1 (c2 / ceremony
            :mod (s / sign-01)))"	"# ::snt Premier Peng Li and Kirghizian President Akayev attended the signing ceremony .
(a / attend-01
      :ARG0 (a2 / and
            :op1 (p / person
                  :name (n / name
                        :op1 ""Peng""
                        :op2 ""Li"")
                  :ARG0-of (h / have-org-role-91
                        :ARG2 (p2 / premier)))
            :op2 (p3 / person
                  :name (n2 / name
                        :op1 ""Akayev"")
                  :ARG0-of (h2 / have-org-role-91
                        :ARG1 (c / country
                              :name (n3 / name
                                    :op1 ""Kirghizia""))
                        :ARG2 (p4 / president))))
      :ARG1 (c2 / ceremony
            :mod (s / sign-01)))"
8	No casualties have been reported as the primary school had no classes over the weekend.	"(c / cause-01
      :ARG0 (h / have-03 :polarity -
            :ARG0 (s / school
                  :mod (p / primary))
            :ARG1 (c3 / class)
            :time (w / weekend))
      :ARG1 (r / report-01 :polarity -
            :ARG1 (c2 / casualty)))"	"# ::snt No casualties have been reported as the primary school had no classes over the weekend.
(r / report-01
      :ARG1 (c / casualty
            :polarity -)
      :ARG1-of (c2 / cause-01
            :ARG0 (c3 / class
                  :polarity -
                  :location (s / school
                        :mod (p / primary))
                  :time (w / weekend))))"
9	The People's Mujahedeen accused the French authorities of carrying out the operation as part of a deal with the Iranian government.	"(a / accuse-01
      :ARG0 (o / organization :wiki ""People's_Mujahedin_of_Iran"" :name (n / name :op1 ""People's"" :op2 ""Mujahedeen""))
      :ARG1 (a2 / authority
            :mod (c / country :wiki ""France"" :name (n2 / name :op1 ""France"")))
      :ARG2 (h / have-part-91
            :ARG1 (d / deal-01
                  :ARG0 a2
                  :ARG1 (g / government-organization
                        :ARG0-of (g2 / govern-01
                              :ARG1 (c3 / country :wiki ""Iran"" :name (n3 / name :op1 ""Iran"")))))
            :ARG2 (c2 / carry-out-03
                  :ARG0 a2
                  :ARG1 (o2 / operation))))"	"# ::snt The People's Mujahedeen accused the French authorities of carrying out the operation as part of a deal with the Iranian government.
(a / accuse-01
      :ARG0 (o / organization
            :name (n / name
                  :op1 ""People's""
                  :op2 ""Mujahedeen""))
      :ARG1 (a2 / authority
            :mod (c / country
                  :name (n2 / name
                        :op1 ""France"")))
      :ARG2 (c2 / carry-out-03
            :ARG0 a2
            :ARG1 (o2 / operation)
            :part-of (d / deal-01
                  :ARG0 a2
                  :ARG1 (g / government-organization
                        :ARG0-of (g2 / govern-01
                              :ARG1 (c3 / country
                                    :name (n3 / name
                                          :op1 ""Iran"")))))))"
